"id","gsa_code","ua_grp_id","target1","target2","target3","tot"
6,"mt",1,70,305,70,1614
3,"mt",2,305,305,305,7167
16,"mt",3,1,1,1,21
8,"mt",4,24,305,24,482
17,"mt",5,0,1,0,16
13,"mt",6,4,65,4,89
19,"mt",7,0,1,0,11
4,"mt",8,250,305,250,5145
15,"mt",9,2,2,1,52
7,"mt",10,50,305,50,1006
20,"mt",11,0,1,0,9
12,"mt",12,6,65,6,130
9,"mt",13,20,305,20,418
11,"mt",15,8,135,8,175
5,"mt",16,140,305,140,3003
18,"mt",17,0,1,0,16
14,"mt",18,3,65,1,79
21,"mt",19,0,1,0,1
10,"mt",20,14,245,14,281
2,"mt",21,305,305,305,36641
1,"mt",22,305,305,305,46097
